,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
572,Pthlh,0.28880408,0.626793,0.7727312956721217,0.9947827095139826,0.11197149844155456
573,Chrnb3,0.2887749,0.28302047,0.7727536410225108,0.9947827095139826,0.11195893997250654
574,Vdr,0.28858593,0.71075886,0.7728982696510395,0.9947827095139826,0.11187766499067547
575,Trim54,0.28854212,1.2501736,0.7729317898583654,0.9947827095139826,0.11185883026691444
576,C1ql2,0.2864731,0.14035213,0.7745157909357291,0.9947827095139826,0.1109697233581765
577,Hs3st3b1,0.28247944,0.301168,0.7775759173793726,0.9949125519138148,0.1092571985848821
578,Cyp26b1,0.28182572,0.22675696,0.7780771537069111,0.9949125519138148,0.10897733647068929
579,Ccdc42,0.2792514,0.48592705,0.7800519010036143,0.9949125519138148,0.10787650042542393
580,Dgkk,0.27901945,0.5980749,0.7802299097222741,0.9949125519138148,0.10777740524396558
581,Qrfpr,0.27815565,0.7746916,0.7808928756194489,0.9949125519138148,0.1074085393855653
582,Ebf2,0.2778888,0.9254782,0.7810977113982445,0.9949125519138148,0.10729463466721859
583,Trpc3,0.27055925,0.04640635,0.786730050319516,0.9949125519138148,0.1041742609930695
584,Npas4,0.27038243,0.33435956,0.78686605874532,0.9949125519138148,0.10409918746101661
585,Kcnj5,0.2701667,0.41234088,0.7870320227875238,0.9949125519138148,0.10400759669178404
586,4930426D05Rik,0.26870027,0.5939033,0.788160335103123,0.9949125519138148,0.10338542519141934
587,Mab21l2,0.26746017,0.70130605,0.7891148799773147,0.9949125519138148,0.10285976724886499
588,Chrna2,0.26722497,0.8547945,0.7892959608804758,0.9949125519138148,0.10276011963453001
589,Slc5a7,0.25916138,0.35127667,0.795510734984445,0.9949125519138148,0.09935395541017014
590,Egr2,0.25877613,0.44427535,0.7958079873237826,0.9949125519138148,0.09919170626372463
591,Pth2r,0.2577185,0.36111116,0.7966241754510301,0.9949125519138148,0.09874651803004789
592,Asb4,0.25755545,0.48366937,0.796750003402965,0.9949125519138148,0.09867792599933306
593,9330158H04Rik,0.2569439,0.6374657,0.7972220617822053,0.9949125519138148,0.09842069143454778
594,Gldn,0.25690985,0.510628,0.7972483589939549,0.9949125519138148,0.09840636600862018
595,Mkx,0.2554167,0.19683544,0.7984012791793978,0.9949125519138148,0.09777877590391575
596,Aqp1,0.25060466,0.28908867,0.8021197811666606,0.9949125519138148,0.09576077334251043
