,names,scores,logfoldchanges,pvals,pvals_adj,log_pval,comparison
841,Cdhr1,0.49302638,0.32887787,0.6219939570057915,0.7220849385929304,0.20621383468504587,cc-out_vs_cc_in
842,Frmd7,0.49064082,0.22952677,0.6236805082733936,0.7232279211548528,0.20503782863058412,cc-out_vs_cc_in
843,Chrna2,0.48787037,1.0608333,0.6256416623263735,0.7234401919832308,0.20367433872699472,cc-out_vs_cc_in
844,Scgn,0.48769486,0.65201366,0.625765998646161,0.7234401919832308,0.20358803818809665,cc-out_vs_cc_in
845,Lepr,0.4865555,0.32143816,0.6265733849171662,0.7236206139739829,0.20302805667598461,cc-out_vs_cc_in
846,Pdgfc,0.4815435,0.039700385,0.6301302582905053,0.7249866622397491,0.2005696654521903,cc-out_vs_cc_in
847,Gal,0.48132956,0.8147825,0.6302822997387536,0.7249866622397491,0.2004648890249888,cc-out_vs_cc_in
848,Skor2,0.48125026,0.9953836,0.6303386468223409,0.7249866622397491,0.20042606493983245,cc-out_vs_cc_in
849,Chrna6,0.4810353,0.74549633,0.6304914176963554,0.7249866622397491,0.20032082070467047,cc-out_vs_cc_in
850,Pou4f2,0.47609925,0.27648804,0.6340036780651707,0.7249866622397491,0.1979082226249325,cc-out_vs_cc_in
851,Foxd2,0.47489113,0.5588585,0.6348645756160034,0.7249866622397491,0.19731890515703,cc-out_vs_cc_in
852,Chat,0.47428447,0.4732898,0.6352970563759542,0.7249866622397491,0.19702315694656028,cc-out_vs_cc_in
853,Serpina3g,0.4739715,0.75419027,0.6355202338770549,0.7249866622397491,0.1968706176965,cc-out_vs_cc_in
854,Fbln5,0.46544278,0.28453252,0.6416144007504346,0.7311113838294696,0.19272589706762341,cc-out_vs_cc_in
855,Esyt3,0.46104127,0.5983529,0.6447690018688137,0.7339532388076352,0.19059584998852375,cc-out_vs_cc_in
856,Igf2bp2,0.45937473,0.27870575,0.6459650931892029,0.734562147935726,0.1897909498762905,cc-out_vs_cc_in
857,Cyp19a1,0.4546156,0.7171607,0.6493858152906204,0.7376969742207355,0.18749720201782677,cc-out_vs_cc_in
858,Slc35d3,0.45001823,0.09048729,0.6526972965035268,0.7399924117358987,0.1852881861641915,cc-out_vs_cc_in
859,Meox2,0.44781297,0.7208496,0.6542881713758619,0.7399924117358987,0.18423093107352675,cc-out_vs_cc_in
860,B020031H02Rik,0.4469597,0.3250708,0.6549041610177162,0.7399924117358987,0.18382225021665205,cc-out_vs_cc_in
